# Argos 検索ワード CSV テスト用（法律用語サンプル）
# 形式: 表層,品詞,読み
# 助詞を含む複合語はフレーズ検索・品詞フィルタ連携の確認向け
弁済による代位,法律用語,ベンサイニヨルダイイ
損害賠償,法律用語,ソンガイバイショウ
債務不履行,法律用語,サイムフリコウ
不法行為,法律用語,フホウコウイ
時効の援用,法律用語,ジコウノエンヨウ
契約の解除,法律用語,ケイヤクノカイジョ
錯誤による取消し,法律用語,サクゴニヨルトリケシ
善意の第三者,法律用語,ゼンイノダイサンシャ
対抗要件,法律用語,タイコウヨウケン
登記の欠缺,法律用語,トウキノケンケツ
所有権に基づく返還請求,法律用語,ショユウケンニモトヅクヘンカンセイキュウ
占有の訴え,法律用語,センユウノウッタエ
相殺の意思表示,法律用語,ソウサイノイシヒョウジ
保証債務,法律用語,ホショウサイム
連帯保証,法律用語,レンタイホショウ
求償権,法律用語,キュウショウケン
債権譲渡,法律用語,サイケンジョウト
通知または承諾,法律用語,ツウチマタハショウダク
留置権,法律用語,リュウチケン
先取特権,法律用語,サキドリトッケン
質権の設定,法律用語,シチケンノセッテイ
抵当権の実行,法律用語,テイトウケンノジッコウ
仮差押え,法律用語,カリサシオサエ
仮処分,法律用語,カリショブン
訴えの提起,法律用語,ウッタエノテイキ
証拠調べ,法律用語,ショウコシラベ
既判力,法律用語,キハンリョク
執行力のある債務名義,法律用語,シッコウリョクノアルサイムメイギ
時効の中断,法律用語,ジコウノチュウダン
公序良俗に反する法律行為,法律用語,コウジョリョウゾクニハンスルホウリツコウイ
信義則,法律用語,シンギソク
権利濫用,法律用語,ケンリランヨウ
